Ref,Val,Package,PosX,PosY,Rot,Side
"C1","14pF","C_0201_0603Metric",26.449995,31.795000,-90.000000,top
"C2","14pF","C_0201_0603Metric",20.799995,28.070000,90.000000,top
"C3","10nF","C_0201_0603Metric",78.549995,105.750000,90.000000,top
"C4","100nF","C_0201_0603Metric",76.404995,110.100000,0.000000,top
"C5","47uF","C_1206_3216Metric",76.049995,117.000000,-90.000000,top
"C6","100nF","C_0201_0603Metric",81.294995,110.100000,180.000000,top
"C7","47uF","C_1206_3216Metric",81.699995,117.100000,-90.000000,top
"D1","GREEN","LED_0201_0603Metric",36.179995,129.950000,0.000000,top
"IC1","USB2514B_M2","QFN50P600X600X100-37N-D",25.749995,19.750000,0.000000,top
"IC2","NC7WZ16P6X","SOT65P210X110-6N",78.099995,101.550000,90.000000,top
"J1","Conn_01x04_Socket","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",54.749995,20.650000,90.000000,top
"J3","USB_A","USB_A_Molex_67643_Horizontal",10.049995,9.360000,0.000000,top
"J4","HDMI_A_1.4","HDMI_A_Molex_208658-1001_Horizontal",96.299995,125.565000,90.000000,top
"J5","USB_A","USB_A_Molex_67643_Horizontal",42.049995,9.360000,0.000000,top
"J6","USB_A","USB_A_Molex_67643_Horizontal",74.049995,9.360000,0.000000,top
"J7","USB_A","USB_A_Molex_67643_Horizontal",106.049995,9.360000,0.000000,top
"J8","PJ-114AH-SMT-TR","PJ114AHSMTTR",25.299995,127.750000,-90.000000,top
"J9","1871058-1","18710581",70.249995,76.800003,180.000000,top
"J10","SJ3-35083B-TR","SJ335083BTR",63.034495,130.256500,-90.000000,top
"J14","Keys","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",54.649995,39.850000,90.000000,top
"J15","DF40C100DS04V51","DF40C100DS04V51",90.549995,52.450000,0.000000,top
"J16","DF40C100DS04V51","DF40C100DS04V51",90.549995,18.550000,0.000000,top
"Q1","IRLZ34NSTRLPBF","IRF2804STRLPBF",15.589995,98.650000,180.000000,top
"R1","1k","R_0201_0603Metric",35.849995,127.800000,-90.000000,top
"R2","100k","R_0201_0603Metric",32.299995,23.345000,90.000000,top
"R3","12k (+/- 1%)","R_0201_0603Metric",19.799995,24.000000,90.000000,top
"R4","220","R_0201_0603Metric",76.469995,106.945000,0.000000,top
"R5","100","R_0201_0603Metric",76.594995,113.600000,0.000000,top
"R6","1.8k","R_0201_0603Metric",76.529995,120.400000,0.000000,top
"R7","220","R_0201_0603Metric",81.329995,106.945000,180.000000,top
"R8","100","R_0201_0603Metric",81.294995,113.600000,180.000000,top
"R9","1.8k","R_0201_0603Metric",81.349995,120.400000,180.000000,top
"R10","10k","R_0201_0603Metric",16.354995,111.750000,180.000000,top
"R11","33","R_0201_0603Metric",89.399995,14.800000,0.000000,top
"R12","33","R_0201_0603Metric",87.954995,14.150000,0.000000,top
"R13","33","R_0201_0603Metric",73.449995,18.800000,-90.000000,top
"R14","33","R_0201_0603Metric",74.249995,19.150000,-90.000000,top
"R15","33","R_0201_0603Metric",90.279995,13.550000,0.000000,top
"R16","33","R_0201_0603Metric",78.099995,22.500000,180.000000,top
"Y1","830108208209","830108208209",25.124995,27.863000,180.000000,top
